,occipital,parietal.left,parietal.right,temporal.left,temporal.right,sphenoid,zygomatic.left,zygomatic.right,frontal,ethmoidal,nasal.left,nasal.right,maxilla.left,maxilla.right,lacrimal.left,lacrimal.right,palatine.left,palatine.right,nasal.concha.left,nasal.concha.right,vomer,malleus.left,malleus.right,incus.left,incus.right,stapes.left,stapes.right,mandible,hyoid.bone,thyroid.cartilage,arytenoid.left,arytenoid.right,cricoid.cartilage,sternum,clavicle.left,clavicle.right,scapula.left,scapula.right,vertebrae,tensor.tympani.left,tensor.tympani.right,stapedius.left,stapedius.right,levator.palpebrae.superioris.left,levator.palpebrae.superioris.right,superior.oblique.left,superior.oblique.right,inferior.oblique.left,inferior.oblique.right,superior.rectus.left,superior.rectus.right,inferior.rectus.left,inferior.rectus.right,medial.rectus.left,medial.rectus.right,lateral.rectu.lefts,lateral.rectus.right,platsma.myoides.left,platsma.myoides.right,occipitalis.left,occipitalis.right,auticularis.posterior.left,auticularis.posterior.right,risorius.left,risorius.right,zygomaticus.major.left,zygomaticus.major.right,zygomaticus.minor.left,zygomaticus.minor.right,frontalis.left,frontalis.right,temporoparietalis.left,temporoparietalis.right,auticularis.anterior.left,auticularis.anterior.right,auricularis.superior.left,auricularis.superior.right,orbicularis.oculi.left,orbicularis.oculi.right,depressor.supercilii.left,depressor.supercilii.right,corrugator.supercilii.left,corrugator.supercilii.right,levator.labii.superioris.alaeque.nasi.left,levator.labii.superioris.alaeque.nasi.right,procerus.left,procerus.right,buccinatorius.left,buccinatorius.right,levator.labii.superioris.left,levator.labii.superioris.right,nasalis.left,nasalis.right,depressor.septi.nasi.left,depressor.septi.nasi.right,levator.anguli.oris.facialis.left,levator.anguli.oris.facialis.right,orbicularis.oris.left,orbicularis.oris.right,depressor.labii.inferioris.left,depressor.labii.inferioris.right,depressor.anguli.oris.left,depressor.anguli.oris.right,mentalis.left,mentalis.right,mylohyoideus.left,mylohyoideus.right,digastricus.anterior.left,digastricus.anterior.right,tensor.veli.palatini.left,tensor.veli.palatini.right,masseter.left,masseter.right,temporalis.main.body.left,temporalis.main.body.right,pterygoideus.lateralis.pars.superior.left,pterygoideus.lateralis.pars.superior.right,pterygoideus.lateralis.pars.inferior.left,pterygoideus.lateralis.pars.inferior.right,pterygoideus.medialis.left,pterygoideus.medialis.right,stylohyoideus.left,stylohyoideus.right,digastricus.posterior.left,digastricus.posterior.right,stylopharyngeus.left,stylopharyngeus.right,trapezius.left,trapezius.right,sternocleidomastoideus.left,sternocleidomastoideus.right,constrictor.pharyngis.medius.left,constrictor.pharyngis.medius.right,constrictor.pharyngis.inferior.left,constrictor.pharyngis.inferior.right,cricothyroideus.left,cricothyroideus.right,constrictor.pharyngis.superior.left,constrictor.pharyngis.superior.right,palatopharyngeus.left,palatopharyngeus.right,levator.veli.palatini.left,levator.veli.palatini.right,salpingopharyngeus.left,salpingopharyngeus.right,thyroarytenoideus.left,thyroarytenoideus.right,cricoarytenoideus.lateralis.left,cricoarytenoideus.lateralis.right,arytenoideus.transversus,arytenoideus.obliquus,cricoarytenoideus.posterior.left,cricoarytenoideus.posterior.right,geniohyoideus.left,geniohyoideus.right,genioglossus.left,genioglossus.right,hyoglossus.left,hyoglossus.right,styloglossus.left,styloglossus.right,palatoglossus.left,palatoglossus.right,sternohyoideus.left,sternohyoideus.right,omohyoideus.pars.superior.left,omohyoideus.pars.superior.right,omohyoideus.pars.inferior.left,omohyoideus.pars.inferior.right,sternothryroideus.left,sternothryroideus.right,thyrohyoideus.left,thyrohyoideus.right
superior.oblique.left,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superior.oblique.right,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inferior.oblique.left,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inferior.oblique.right,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superior.rectus.left,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superior.rectus.right,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inferior.rectus.left,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inferior.rectus.right,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medial.rectus.left,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medial.rectus.right,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
